CD_STATION;MOYPTOT;MAXPTOT
02093X0004/S6;0.01575;0.023
01188X0018/F2;0.0158;0.06
10035X0009/F2;0.01585;0.0317
00728X0059/F1;0.016;0.043
04555X0083/P3;0.016;0.07
01131X0045/HY;0.016;0.03
06177X0003/HY;0.016;0.032
03333X0014/PAEP2;0.016;0.028
07482X0032/F;0.016;0.02
02604X0097/VS0380;0.016;0.03
03042X0026/S;0.01625;0.065
06432X0018/HY;0.016333333;0.025
02467X0007/HY;0.0165;0.033
04762X0050/S2;0.016666667;0.07
07223C0089/S;0.016666667;0.04
08565X0007/F;0.016666667;0.029
03642X0094/F3;0.017;0.017
02993X0112/P2;0.01725;0.032
03773X0086/HY;0.0175;0.07
04738X0017/P;0.0175;0.05
04946X1002/F2;0.0175;0.026
01185X0010/C1;0.0175;0.03
03066X0003/PB;0.0175;0.03
03061X0055/HY;0.01775;0.05
04762X0001/S1;0.018;0.09
00445X0025/P;0.018;0.019
01206X0146/FB1;0.018;0.036
01908X0043/F2;0.018;0.018
00535X0003/PAEP;0.018;0.06
06102X0612/FORAGE;0.01825;0.073
05156X0010/PCAEP;0.0185;0.041
07441X0004/CPT;0.0185;0.037
05573X0003/S;0.0186;0.02
04038X0004/AEP;0.018666667;0.03
05031X0054/S;0.0188;0.046
00657X0047/F;0.019;0.038
05615X0015/F;0.019;0.038
06074X0086/F3;0.019;0.054
04982X0009/SOURCE;0.019125;0.05
04373X0026/SOURCE;0.019333333;0.11
02408X0017/HY;0.0195;0.039
02131X0017/F1;0.0195;0.039
00756X0151/F1;0.019555556;0.06
00188X0067/F3;0.02;0.02
00634X0098/HY;0.02;0.02
00684X0011/SAEP;0.02;0.03
00696X0046/SAEP;0.02;0.06
04421X0017/S;0.02;0.08
